NAICS2022|DESCRIPTION
315|Industries in the Apparel Manufacturing subsector group establishments with two distinct manufacturing processes: (1) cut and sew (i.e., purchasing fabric and cutting and sewing to make a garment) and (2) the manufacture of garments in establishments that first knit fabric and then cut and sew the fabric into a garment.  The Apparel Manufacturing subsector includes a diverse range of establishments manufacturing full lines of ready-to-wear apparel and custom apparel: apparel contractors, performing cutting or sewing operations on materials owned by others; jobbers, performing entrepreneurial functions involved in apparel manufacturing; and tailors, manufacturing custom garments for individual clients.  Knitting fabric, when done alone, is classified in the Textile Mills subsector, but when knitting is combined with the production of complete garments, the activity is classified in the Apparel Manufacturing subsector.
3151|
31512|See industry description for 315120.
315120|This industry comprises establishments primarily engaged in knitting apparel or knitting fabric and then manufacturing apparel.  Jobbers, performing entrepreneurial functions involved in knitting apparel and accessories, are included.<br><br>Cross-References. Establishments primarily engaged in--
3152|This industry group comprises establishments primarily engaged in manufacturing cut and sew apparel from woven fabric or purchased knit fabric.  Included in this industry group is a diverse range of establishments manufacturing full lines of ready-to-wear apparel and custom apparel: apparel contractors, performing cutting or sewing operations on materials owned by others; jobbers, performing entrepreneurial functions involved in apparel manufacturing; and tailors, manufacturing custom garments for individual clients.  Establishments weaving or knitting fabric, without manufacturing apparel, are classified in Subsector 313, Textile Mills.
31521|See industry description for 315210.
315210|This industry comprises establishments commonly referred to as contractors primarily engaged in (1) cutting materials owned by others for apparel and accessories and/or (2) sewing materials owned by others for apparel and accessories.<br><br>Cross-References. Establishments primarily engaged in--
31525|See industry description for 315250.
315250|This industry comprises establishments primarily engaged in manufacturing cut and sew apparel from purchased fabric.  Clothing jobbers, who perform entrepreneurial functions involved in apparel manufacture, including buying raw materials, designing and preparing samples, arranging for apparel to be made from their materials, and marketing finished apparel, are included.<br><br>Cross-References. Establishments primarily engaged in--
3159|
31599|See industry description for 315990.
315990|This industry comprises establishments primarily engaged in manufacturing apparel and accessories (except apparel knitting mills, cut and sew apparel contractors, and cut and sew apparel manufacturing (except contractors)).  Jobbers, who perform entrepreneurial functions involved in apparel accessories manufacture, including buying raw materials, designing and preparing samples, arranging for apparel accessories to be made from their materials, and marketing finished apparel accessories, are included.  Examples of products made by these establishments are belts, caps, gloves (except medical, safety, sporting), hats, and neckties.<br><br>Cross-References. Establishments primarily engaged in--
316|Establishments in the Leather and Allied Product Manufacturing subsector transform hides into leather by tanning or curing and fabricating the leather into products for final consumption.  This subsector also includes the manufacture of similar products from other materials, including products (except apparel) made from "leather substitutes," such as rubber, plastics, or textiles.  Rubber footwear, textile luggage, and plastics purses or wallets are examples of "leather substitute" products included in this subsector.  The products made from leather substitutes are included in this subsector because they are made in similar ways leather products are made (e.g., luggage).  They are made in the same establishments, so it is not practical to separate them.<br><br>The inclusion of leather and hide tanning and finishing in this subsector is partly because it is a relatively small industry that has few close neighbors as a production process, partly because leather is an input to some of the other products classified in this subsector, and partly for historical reasons.
3161|
31611|See industry description for 316110.
316110|This industry comprises establishments primarily engaged in one or more of the following: (1) tanning, currying, and finishing hides and skins; (2) having others process hides and skins on a contract basis; and (3) dyeing or dressing furs.
3162|
31621|See industry description for 316210.
316210|This industry comprises establishments primarily engaged in manufacturing footwear (except orthopedic extension footwear).<br><br>Illustrative Examples:<br><br>Athletic shoes manufacturing<br>Ballet slippers manufacturing<br>Cleated athletic shoes manufacturing<br>Shoes, children's and infants' (except orthopedic extension), manufacturing<br>Shoes, men's (except orthopedic extension), manufacturing<br>Shoes, women's (except orthopedic extension), manufacturing<br><br>Cross-References.
3169|
31699|See industry description for 316990.
316990|This industry comprises establishments primarily engaged in manufacturing leather products (except footwear and apparel) from purchased leather or leather substitutes (e.g., fabric, plastics).<br><br>Illustrative Examples:<br><br>Billfolds, all materials, manufacturing<br>Boot and shoe cut stock and findings, leather, manufacturing<br>Dog furnishings (e.g., collars, harnesses, leashes, muzzles), manufacturing<br>Luggage, all materials, manufacturing<br>Shoe soles, leather, manufacturing<br>Purses, women's, all materials (except metal), manufacturing<br>Toilet kits and cases (except metal) manufacturing<br>Watch bands (except metal) manufacturing<br>Welders' jackets, leggings, and sleeves, leather, manufacturing<br><br>Cross-References. Establishments primarily engaged in--
32|The Sector as a Whole<br><br>The Manufacturing sector comprises establishments engaged in the mechanical, physical, or chemical transformation of materials, substances, or components into new products.  The assembling of component parts of manufactured products is considered manufacturing, except in cases where the activity is appropriately classified in Sector 23, Construction.<br><br>Establishments in the Manufacturing sector are often described as plants, factories, or mills and characteristically use power-driven machines and material handling equipment.  However, establishments that transform materials or substances into new products by hand or in the worker's home and those engaged in selling to the general public products made on the same premises from which they are sold, such as bakeries, candy stores, and custom tailors, may also be included in this sector.  Manufacturing establishments may process materials or may contract with other establishments to process their materials for them.  Both types of establishments are included in manufacturing.  Selected industries in the Manufacturing sector are comprised solely of establishments that process materials for other establishments on a contract or fee basis.  Beyond these dedicated contract manufacturing industries, establishments that process materials for other establishments are generally classified in the Manufacturing industry of the processed materials.<br><br>The materials, substances, or components transformed by manufacturing establishments are raw materials that are products of agriculture, forestry, fishing, mining, or quarrying as well as products of other manufacturing establishments.  The materials used may be purchased directly from producers, obtained through customary trade channels, or secured without recourse to the market by transferring the product from one establishment to another, under the same ownership.<br><br>The new product of a manufacturing establishment may be finished in the sense that it is ready for utilization or consumption, or it may be semi-finished to become an input for an establishment engaged in further manufacturing.  For example, the product of the alumina refinery is the input used in the primary production of aluminum; primary aluminum is the input to an aluminum wire drawing plant; and aluminum wire is the input for a fabricated wire product manufacturing establishment.<br><br>The subsectors in the Manufacturing sector generally reflect distinct production processes related to material inputs, production equipment, and employee skills.  In the machinery area, where assembling is a key activity, parts and accessories for manufactured products are classified in the industry of the finished manufactured item when they are made for separate sale.  For example, an attachment for a piece of metalworking machinery would be classified with metalworking machinery.  However, component inputs from other manufacturing establishments are classified based on the production function of the component manufacturer.  For example, electronic components are classified in Subsector 334, Computer and Electronic Product Manufacturing, and stampings are classified in Subsector 332, Fabricated Metal Product Manufacturing.<br><br>Manufacturing establishments often perform one or more activities that are classified outside the Manufacturing sector of NAICS.  For instance, almost all manufacturing has some captive research and development or administrative operations, such as accounting, payroll, or management.  These captive services are treated the same as captive manufacturing activities.  When the services are provided by separate establishments, they are classified in the NAICS sector where such services are primary, not in manufacturing.<br><br>The boundaries of manufacturing and the other sectors of the classification system can be somewhat blurry.  The establishments in the Manufacturing sector are engaged in the transformation of materials into new products.  Their output is a new product.  However, the definition of what constitutes a new product can be somewhat subjective.  As clarification, the following activities are considered manufacturing in NAICS:<br><table width=100%><tr><td width=10%> </td><td><dl><dt style='padding-left: 10px; text-indent: -10px;'>Milk bottling and pasteurizing;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Water bottling and processing;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Fresh fish packaging (oyster<br/> shucking, fish filleting);</dt><dt style='padding-left: 10px; text-indent: -10px;'>Apparel jobbing (assigning<br/> materials to contract<br/> factories or shops for<br/>  fabrication or other contract<br/> operations) as well as<br/> contracting on materials<br/> owned by others;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Printing and related activities;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Ready-mix concrete production;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Leather converting;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Grinding lenses to<br/> prescription;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Wood preserving;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Lapidary work for the trade;</dt></dl></td><td width=10%> </td><td><dl><dt style='padding-left: 10px; text-indent: -10px;'>Electroplating, plating, metal<br/> heat treating, and<br/> polishing for the trade;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Fabricating signs and<br/> advertising displays;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Rebuilding or remanufacturing<br/> machinery (i.e., automotive<br/> parts);</dt><dt style='padding-left: 10px; text-indent: -10px;'>Making manufactured homes<br/> (i.e., mobile homes) or<br/> prefabricated buildings,<br/> whether or not assembling/<br/> erecting at the customers'<br/> site;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Ship repair and renovation;</dt><dt style='padding-left: 10px; text-indent: -10px;'>Machine shops; and</dt><dt style='padding-left: 10px; text-indent: -10px;'>Tire retreading.</dt></dl></td><td width=10%> </td></tr></table><br>Conversely, there are activities that are sometimes considered manufacturing, but which for NAICS are classified in another sector (i.e., not classified as manufacturing). They include:<br><br>1. Logging, classified in Sector 11, Agriculture, Forestry, Fishing and Hunting, is considered a harvesting operation;<br>2. Beneficiating ores and other minerals, classified in Sector 21, Mining, Quarrying, and Oil and Gas Extraction, is considered part of the activity of mining;<br>3. Constructing structures, assembling prefabricated buildings, and fabricating at the construction site by contractors are classified in Sector 23, Construction;<br>4. Breaking bulk and reselling in smaller lots, including packaging, repackaging, or bottling products, such as liquors or chemicals; assembling and selling computers on a custom basis; sorting and reselling scrap; mixing and selling paints to customer order; and cutting metals to customer order for resale are classified in Sector 42, Wholesale Trade, or Sector 44-45, Retail Trade; and<br>5. Publishing and the combined activity of publishing and printing, classified in Sector 51, Information, transform information into a product for which the value to the consumer lies in the information content, not in the format in which it is distributed (i.e., the book or software compact disc).
321|Establishments in the Wood Product Manufacturing subsector manufacture wood products, such as lumber, plywood, veneers, wood containers, wood flooring, wood trusses, manufactured homes (i.e., mobile homes), and prefabricated wood buildings.  The production processes of the Wood Product Manufacturing subsector include sawing, planing, shaping, laminating, and assembling wood products starting from logs that are cut into bolts, or lumber that then may be further cut, or shaped by lathes or other shaping tools.  The lumber or other transformed wood shapes may also be subsequently planed or smoothed, and assembled into finished products, such as wood containers.  The Wood Product Manufacturing subsector includes establishments that make wood products from logs and bolts that are sawed and shaped, and establishments that purchase sawed lumber and make wood products.  With the exception of sawmills and wood preservation establishments, the establishments are grouped into industries mainly based on the specific products manufactured.
3211|
32111|This industry comprises establishments primarily engaged in one or more of the following: (1) sawing dimension lumber, boards, beams, timber, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts; (2) sawing round wood poles, pilings, and posts and treating them with preservatives; and (3) treating wood sawed, planed, or shaped in other establishments with creosote or other preservatives to prevent decay and to protect against fire and insects.  Sawmills may plane the rough lumber that they make with a planing machine to achieve smoothness and uniformity of size.<br><br>Cross-References. Establishments primarily engaged in--
321113|This U.S. industry comprises establishments primarily engaged in sawing dimension lumber, boards, beams, timbers, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts.  Sawmills may plane the rough lumber that they make with a planing machine to achieve smoothness and uniformity of size.<br><br>Cross-References. Establishments primarily engaged in--
321114|This U.S. industry comprises establishments primarily engaged in (1) treating wood sawed, planed, or shaped in other establishments with creosote or other preservatives, such as alkaline copper quat, copper azole, and sodium borates, to prevent decay and to protect against fire and insects and/or (2) sawing round wood poles, pilings, and posts and treating them with preservatives.<br><br>Cross-References.
3212|
32121|This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing veneer and/or plywood; (2) manufacturing engineered wood members; and (3) manufacturing reconstituted wood products.  This industry includes manufacturing plywood from veneer made in the same establishment or from veneer made in other establishments, and manufacturing plywood faced with nonwood materials, such as plastics or metal.<br><br>Illustrative Examples:<br><br>Fabricated structural wood members manufacturing<br>Laminated structural wood members manufacturing<br>Medium density fiberboard (MDF) manufacturing<br>Oriented strandboard (OSB) manufacturing<br>Particleboard manufacturing<br>Plywood manufacturing<br>Reconstituted wood sheets and boards manufacturing<br>Roof trusses, wood, manufacturing<br>Veneer mills<br>Waferboard manufacturing<br><br>Cross-References. Establishments primarily engaged in--
321211|This U.S. industry comprises establishments primarily engaged in manufacturing hardwood veneer and/or hardwood plywood.<br><br>Cross-References. Establishments primarily engaged in--
321212|This U.S. industry comprises establishments primarily engaged in manufacturing softwood veneer and/or softwood plywood.<br><br>Cross-References. Establishments primarily engaged in--
321215|This U.S. industry comprises establishments primarily engaged in manufacturing fabricated or laminated wood arches, wood roof and floor trusses, and/or other fabricated or laminated wood structural members.<br><br>Illustrative Examples:<br><br>Finger joint lumber manufacturing<br>I-joists, wood, fabricating<br>Laminated veneer lumber (LVL) manufacturing<br>Parallel strand lumber manufacturing<br>Timbers, structural, glue laminated or pre-engineered wood, manufacturing<br>Trusses, wood roof or floor, manufacturing<br><br>Cross-References. Establishments primarily engaged in--
321219|This U.S. industry comprises establishments primarily engaged in manufacturing reconstituted wood sheets and boards.<br><br>Illustrative Examples:<br><br>Medium density fiberboard (MDF) manufacturing<br>Oriented strandboard (OSB) manufacturing<br>Particleboard manufacturing<br>Reconstituted wood sheets and boards manufacturing<br>Waferboard manufacturing<br><br>Cross-References. Establishments primarily engaged in--
3219|This industry group comprises establishments primarily engaged in manufacturing wood products (except establishments operating sawmills and wood preservation facilities; and establishments manufacturing veneer, plywood, or engineered wood products).
32191|This industry comprises establishments primarily engaged in manufacturing hardwood and softwood cut stock and dimension stock (i.e., shapes); wood windows and wood doors; and other millwork including wood flooring.  Dimension stock or cut stock is defined as lumber and worked wood products cut or shaped to specialized sizes.  These establishments generally use woodworking machinery, such as jointers, planers, lathes, and routers to shape wood.<br><br>Cross-References. Establishments primarily engaged in--
321911|This U.S. industry comprises establishments primarily engaged in manufacturing window and door units, sash, window and door frames, and doors from wood or wood clad with metal or plastics.<br><br>Cross-References.
321912|This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing dimension lumber from purchased lumber; (2) manufacturing dimension stock (i.e., shapes) or cut stock; (3) resawing the output of sawmills; and (4) planing purchased lumber.  These establishments generally use woodworking machinery, such as jointers, planers, lathes, and routers to shape wood.<br><br>Cross-References. Establishments primarily engaged in--
321918|This U.S. industry comprises establishments primarily engaged in manufacturing millwork (except wood windows, wood doors, and cut stock).<br><br>Illustrative Examples:<br><br>Clear and finger joint wood moldings manufacturing<br>Decorative wood moldings (e.g., base, chair rail, crown, shoe) manufacturing<br>Ornamental woodwork (e.g., cornices, mantel) manufacturing<br>Planing mills, millwork<br>Stairwork (e.g., newel posts, railings, stairs, staircases), wood, manufacturing<br>Wood flooring manufacturing<br>Wood shutters manufacturing<br><br>Cross-References. Establishments primarily engaged in--
32192|See industry description for 321920.
321920|This industry comprises establishments primarily engaged in manufacturing wood pallets, wood box shook, wood boxes, other wood containers, and wood parts for pallets and containers.<br><br>Cross-References.
32199|This industry comprises establishments primarily engaged in manufacturing wood products (except establishments operating sawmills and wood preservation facilities; and establishments manufacturing veneer, plywood, engineered wood products, millwork, wood containers, or pallets).<br><br>Illustrative Examples:<br><br>Mobile homes manufacturing<br>Panels, prefabricated wood building, manufacturing<br>Prefabricated wood buildings manufacturing<br>Wood dowels manufacturing<br>Sections, prefabricated wood building, manufacturing<br>Wood handles (e.g., broom, handtool, mop) manufacturing<br><br>Cross-References. Establishments primarily engaged in--
321991|This U.S. industry comprises establishments primarily engaged in making manufactured homes (i.e., mobile homes) and nonresidential mobile buildings.  Manufactured homes are designed to accept permanent water, sewer, and utility connections and although equipped with wheels, they are not intended for regular highway movement.<br><br>Cross-References. Establishments primarily engaged in--
321992|This U.S. industry comprises establishments primarily engaged in manufacturing prefabricated wood buildings and wood sections and panels for prefabricated wood buildings.<br><br>Cross-References. Establishments primarily engaged in--
321999|This U.S. industry comprises establishments primarily engaged in manufacturing wood products (except establishments operating sawmills and preservation facilities; establishments manufacturing veneer, engineered wood products, millwork, wood containers, pallets, and wood container parts; and establishments making manufactured homes (i.e., mobile homes) and prefabricated buildings and components).<br><br>Illustrative Examples:<br><br>Cabinets (i.e., housings), wood (e.g., sewing machines, stereo, television), manufacturing<br>Cork products (except gaskets) manufacturing<br>Kiln drying lumber<br>Shoe trees manufacturing<br>Wood dowels manufacturing<br>Wood extension ladders manufacturing<br>Wood handles (e.g., broom, handtool, mop), manufacturing<br>Wood kitchenware manufacturing<br>Wood stepladders manufacturing<br>Wood toilet seats manufacturing<br>Wood toothpicks manufacturing<br><br>Cross-References. Establishments primarily engaged in--
322|Industries in the Paper Manufacturing subsector make pulp, paper, or converted paper products.  The manufacturing of these products is grouped together because they constitute a series of vertically connected processes.  More than one is often carried out in a single establishment.  There are essentially three activities.  The manufacturing of pulp involves separating the cellulose fibers from other impurities in wood or used paper.  The manufacturing of paper involves matting these fibers into a sheet.  The manufacturing of converted paper products involves converting paper and other materials by various cutting and shaping techniques and includes coating and laminating activities.<br><br>The Paper Manufacturing subsector is subdivided into two industry groups, the first for the manufacturing of pulp and paper and the second for the manufacturing of converted paper products.  Paper making is treated as the core activity of the subsector.  Therefore, any establishment that makes paper (including paperboard), either alone or in combination with pulp manufacturing or paper converting, is classified as a paper or paperboard mill.  Establishments that make pulp without making paper are classified as pulp mills.  Pulp mills, paper mills, and paperboard mills comprise the first industry group.<br><br>Establishments that make products from purchased paper and other materials make up the second industry group, Converted Paper Product Manufacturing.  This general activity is then subdivided based, for the most part, on process distinctions.  Paperboard container manufacturing uses corrugating, cutting, and shaping machinery to form paperboard into containers.  Paper bag and coated and treated paper manufacturing establishments cut and coat paper and foil.  Stationery product manufacturing establishments make a variety of paper products used for writing, filing, and similar applications.  Other converted paper product manufacturing includes, in particular, the conversion of sanitary paper stock into such things as tissue paper and disposable diapers.<br><br>An important process used in the Paper Bag and Coated and Treated Paper Manufacturing industry is lamination, often combined with coating.  Lamination and coating make a composite material with improved properties of strength, impermeability, and so on.  The laminated materials may be paper, metal foil, or plastics film.  While paper is often one of the components, it is not always.  Lamination of plastics film to plastics film is classified in Subsector 326, Plastics and Rubber Products Manufacturing, because establishments that do this often first make the film.  The same situation holds with respect to bags.  The manufacturing of bags from plastics only, whether or not laminated, is classified in Subsector 326, Plastics and Rubber Products Manufacturing.<br><br>Excluded from this subsector are photosensitive papers.  These papers are chemically treated and are classified in Industry 32599, All Other Chemical Product and Preparation Manufacturing.
3221|This industry group comprises establishments primarily engaged in manufacturing pulp, paper, or paperboard.
32211|See industry description for 322110.
322110|This industry comprises establishments primarily engaged in manufacturing pulp without manufacturing paper or paperboard.  The pulp is made by separating the cellulose fibers from the other impurities in wood or other materials, such as used or recycled rags, linters, scrap paper, and straw.<br><br>Cross-References. Establishments primarily engaged in--
32212|See industry description for 322120.
322120|This industry comprises establishments primarily engaged in manufacturing paper from pulp. These establishments may manufacture or purchase pulp.  In addition, the establishments may convert the paper they make.  The activity of making paper classifies an establishment into this industry regardless of the output.<br><br>Cross-References. Establishments primarily engaged in--
32213|See industry description for 322130.
322130|This industry comprises establishments primarily engaged in manufacturing paperboard (e.g., can/drum stock, container board, corrugating medium, folding carton stock, linerboard, tube) from pulp.  These establishments may manufacture or purchase pulp.  In addition, the establishments may also convert the paperboard they make.<br><br>Cross-References. Establishments primarily engaged in--
3222|This industry group comprises establishments primarily engaged in converting paper or paperboard without manufacturing paper or paperboard.
32221|This industry comprises establishments primarily engaged in converting paperboard into containers without manufacturing paperboard.  These establishments use corrugating, cutting, and shaping machinery to form paperboard into containers.  Products made by these establishments include boxes, corrugated sheets, pads, pallets, paper dishes, and fiber drums and reels.<br><br>Cross-References. Establishments primarily engaged in--
322211|This U.S. industry comprises establishments primarily engaged in laminating purchased paper or paperboard into corrugated or solid fiber boxes and related products, such as pads, partitions, pallets, and corrugated paper without manufacturing paperboard.  These boxes are generally used for shipping.<br><br>Cross-References. Establishments primarily engaged in--
322212|This U.S. industry comprises establishments primarily engaged in converting paperboard (except corrugated) into folding paperboard boxes without manufacturing paper and paperboard.<br><br>Cross-References. Establishments primarily engaged in--
322219|This U.S. industry comprises establishments primarily engaged in converting paperboard into paperboard containers (except corrugated, solid fiber, and folding paperboard boxes) without manufacturing paperboard.<br><br>Illustrative Examples:<br><br>Fiber cans and drums (i.e., all-fiber, nonfiber ends of any material) made from purchased paperboard<br>Milk cartons made from purchased paper or paperboard<br>Sanitary food containers (except folding) made from purchased paper or paperboard<br>Setup (i.e., not shipped flat) boxes made from purchased paperboard<br><br>Cross-References. Establishments primarily engaged in--
32222|See industry description for 322220.
322220|This industry comprises establishments primarily engaged in one or more of the following: (1) cutting and coating paper and paperboard; (2) cutting and laminating paper, paperboard, and other flexible materials (except plastics film to plastics film); (3) manufacturing bags, multiwall bags, sacks of paper, metal foil, coated paper, laminates, or coated combinations of paper and foil with plastics film; (4) manufacturing laminated aluminum and other converted metal foils from purchased foils; and (5) surface coating paper or paperboard.<br><br>Cross-References. Establishments primarily engaged in--
32223|See industry description for 322230.
322230|This industry comprises establishments primarily engaged in converting paper or paperboard into products used for writing, filing, art work, and similar applications.<br><br>Illustrative Examples:<br><br>Computer paper, die-cut, made from purchased paper<br>Die-cut paper products for office use made from purchased paper or paperboard<br>Envelopes (i.e., mailing, stationery) made from any material<br>Stationery made from purchased paper<br>Tablets (e.g., memo, note, writing) made from purchased paper<br>Tapes (e.g., adding machine, calculator, cash register) made from purchased paper<br><br>Cross-References.
32229|This industry comprises establishments primarily engaged in (1) converting paper and paperboard into products (except containers, bags, coated and treated paper and paperboard, and stationery products) or (2) converting pulp into pulp products, such as disposable diapers, or molded pulp egg cartons, food trays, and dishes.  Processes used include laminating or lining purchased paper or paperboard.<br><br>Illustrative Examples:<br><br>Crepe paper made from purchased paper<br>Die-cut paper products (except for office use) made from purchased paper or paperboard<br>Paper novelties made from purchased paper<br>Molded pulp products (e.g., egg cartons, food containers, food trays) manufacturing<br>Sanitary products made from purchased sanitary paper stock<br><br>Cross-References. Establishments primarily engaged in--
322291|This U.S. industry comprises establishments primarily engaged in converting purchased sanitary paper stock or wadding into sanitary paper products, such as facial tissues, handkerchiefs, table napkins, toilet paper, towels, disposable diapers, sanitary napkins, and tampons.
322299|This U.S. industry comprises establishments primarily engaged in converting paper or paperboard into products (except containers, bags, coated and treated paper, stationery products, and sanitary paper products) or converting pulp into pulp products, such as egg cartons, food trays, and other food containers from molded pulp.<br><br>Illustrative Examples:<br><br>Crepe paper made from purchased paper<br>Die-cut paper products (except for office use) made from purchased paper or paperboard<br>Molded pulp products (e.g., egg cartons, food containers, food trays) manufacturing<br>Paper novelties made from purchased paper<br><br>Cross-References. Establishments primarily engaged in--
323|Industries in the Printing and Related Support Activities subsector print products, such as newspapers, books, labels, business cards, stationery, business forms, and other materials, and perform support activities, such as data imaging, platemaking services, and bookbinding.  The support activities included here are an integral part of the printing industry, and a product (a printing plate, a bound book, or a computer disk or file) that is an integral part of the printing industry is almost always provided by these operations.<br><br>Processes used in printing include a variety of methods used to transfer an image from a plate, screen, film, or computer file to some medium, such as paper, plastics, metal, textile articles, or wood.  The printing processes employed include, but are not limited to, lithographic, gravure, screen, flexographic, digital, and letterpress.<br><br>In contrast to many other classification systems that locate publishing of printed materials in manufacturing, NAICS classifies the publishing of printed products in Subsector 513, Publishing Industries.  Though printing and publishing are often carried out by the same enterprise, it is less and less the case that these distinct activities are carried out in the same establishment.  When publishing and printing are done in the same establishment, the establishment is classified in Subsector 513, Publishing Industries, in the appropriate NAICS industry even if the receipts for printing exceed those for publishing.<br><br>This subsector includes printing on clothing because the production process for that activity is printing, not clothing manufacturing.  For instance, the printing of T-shirts is included in this subsector.  In contrast, printing on fabric (or grey goods) is not included.  This activity is part of the process of finishing the fabric and is included in Industry 31331, Textile and Fabric Finishing Mills.<br><br>Excluded from this subsector are establishment primarily engaged in manufacturing bare printed circuit boards.  These establishments print, perforate, plate, screen, etch, or photoprint interconnecting pathways for electric current on laminates and are classified in Industry 33441, Semiconductor and Other Electronic Component Manufacturing.  Establishments primarily providing printing brokerage services are classified in Industry 56199, All Other Support Services.
3231|
32311|This industry comprises establishments primarily engaged in printing on apparel and textile products, paper, metal, glass, plastics, and other materials, except fabric (grey goods).  The printing processes employed include, but are not limited to, lithographic, gravure, screen, flexographic, digital, and letterpress.  Establishments in this industry do not manufacture the stock that they print, but may perform postprinting activities, such as folding, cutting, or laminating the materials they print, and mailing.<br><br>Cross-References. Establishments primarily engaged in--
323111|This U.S. industry comprises establishments primarily engaged in commercial printing (except screen printing, books printing) without publishing (except fabric grey goods printing).  The printing processes used in this industry include, but are not limited to, lithographic, gravure, flexographic, letterpress, engraving, and various digital printing technologies.  This industry includes establishments engaged in commercial printing on purchased stock materials, such as stationery, invitations, labels, and similar items, on a job-order basis.  Establishments primarily engaged in traditional printing activities combined with document photocopying services (i.e., quick printers) or primarily engaged in printing graphical materials using digital printing equipment are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
323113|This U.S. industry comprises establishments primarily engaged in screen printing without publishing (except books, fabric grey goods, and manifold business forms).  This industry includes establishments engaged in screen printing on purchased stock materials, such as stationery, invitations, labels, and similar items, on a job-order basis.  Establishments primarily engaged in printing on apparel and textile products, such as T-shirts, caps, jackets, towels, and napkins, are included in this industry.<br><br>Cross-References. Establishments primarily engaged in--
323117|This U.S. industry comprises establishments primarily engaged in printing or printing and binding books and pamphlets without publishing.<br><br>Cross-References. Establishments primarily engaged in--
32312|See industry description for 323120.
323120|This industry comprises establishments primarily engaged in performing prepress and postpress services in support of printing activities.  Prepress services may include such things as platemaking, typesetting, trade binding, and sample mounting.  Postpress services include such things as book or paper bronzing, die cutting, edging, embossing, folding, gilding, gluing, and indexing.<br><br>Cross-References. Establishments primarily engaged in--
324|The Petroleum and Coal Products Manufacturing subsector is based on the transformation of crude petroleum and coal into usable products.  The dominant process is petroleum refining that involves the separation of crude petroleum into component products through such techniques as cracking and distillation.<br><br>In addition, this subsector includes establishments that primarily further process refined petroleum and coal products and produce products, such as asphalt coatings and petroleum lubricating oils.  However, establishments that manufacture petrochemicals from refined petroleum are classified in Industry 32511, Petrochemical Manufacturing.
3241|
32411|See industry description for 324110.
324110|This industry comprises establishments primarily engaged in refining crude petroleum into refined petroleum.  Petroleum refining involves one or more of the following activities: (1) fractionation; (2) straight distillation of crude oil; and (3) cracking.<br><br>Cross-References. Establishments primarily engaged in--
32412|This industry comprises establishments primarily engaged in (1) manufacturing asphalt and tar paving mixtures and blocks and roofing cements and coatings from purchased asphaltic materials and/or (2) saturating purchased mats and felts with asphalt or tar from purchased asphaltic materials.<br><br>Cross-References. Establishments primarily engaged in--
324121|This U.S. industry comprises establishments primarily engaged in manufacturing asphalt and tar paving mixtures and blocks from purchased asphaltic materials.<br><br>Cross-References.
324122|This U.S. industry comprises establishments primarily engaged in (1) saturating purchased mats and felts with asphalt or tar from purchased asphaltic materials and (2) manufacturing asphalt and tar and roofing cements and coatings from purchased asphaltic materials.<br><br>Cross-References. Establishments primarily engaged in--
32419|This industry comprises establishments primarily engaged in manufacturing petroleum products (except asphalt paving, roofing, and saturated materials) from refined petroleum or coal products made in coke ovens not integrated with a steel mill.<br><br>Illustrative Examples:<br><br>Biodiesel fuels not made in petroleum refineries and blended with purchased refined petroleum<br>Coke oven products (e.g., coke, gases, tars) made in coke oven establishments<br>Petroleum brake fluids made from refined petroleum<br>Petroleum jelly made from refined petroleum<br>Petroleum briquettes made from refined petroleum<br>Petroleum lubricating oils and greases made from refined petroleum<br>Petroleum waxes made from refined petroleum<br>Re-refining used petroleum lubricating oils<br><br>Cross-References. Establishments primarily engaged in--
324191|This U.S. industry comprises establishments primarily engaged in blending or compounding refined petroleum to make lubricating oils and greases and/or re-refining used petroleum lubricating oils.<br><br>Cross-References. Establishments primarily engaged in--
324199|This U.S. industry comprises establishments primarily engaged in manufacturing petroleum products (except asphalt paving, roofing, and saturated materials and lubricating oils and greases) from refined petroleum and coal products made in coke ovens not integrated with a steel mill.<br><br>Illustrative Examples:<br><br>Biodiesel fuels not made in petroleum refineries and blended with purchased refined petroleum<br>Coke oven products (e.g., coke, gases, tars) made in coke oven establishments<br>Petroleum briquettes made from refined petroleum<br>Petroleum jelly made from refined petroleum<br>Petroleum waxes made from refined petroleum<br><br>Cross-References. Establishments primarily engaged in--
